9/26/2012,Guild Wars 2,PC » Role-Playing » Massively Multiplayer Online » Fantasy,,
9/12/2012,DayZ,PC » Action » Shooter » First-Person » Mod (ARMA 2),,
9/5/2012,Darksiders 2,PlayStation 3 » Action Adventure » Modern,,
8/29/2012,Sleeping Dogs,PlayStation 3 » Action RPG » Shooter » Third-Person » Modern,,
8/22/2012,Steam Roundup,"PC » Adventure » Puzzle » 2.5D Side-Scroller (Unmechanical), PC » Action » Strategy (Orcs Must Die 2), PC » Adventure » General (The Book of Unwritten Tales)",,
8/15/2012,Wreckateer and Deadlight,"XBLA » Action » Puzzle (Wreckateer), XBLA » Platformer » Survival Horror (Deadlight)",,
8/8/2012,Half-Life,PC » Action » Shooter » First-Person » Sci-Fi,,
8/1/2012,The Amazing Spider-Man,Xbox 360 » Action » General,,
7/25/2012,Inversion,PlayStation 3 » Action » Shooter » Third-Person » Modern,,
7/18/2012,Walking Dead,PC » Adventure » General,,
7/11/2012,Spec Ops: The Line,PC » Action » Shooter » Third-Person » Tactical » Modern,,
7/4/2012,Quantum Conundrum,PC » Miscellaneous » Puzzle » General,,
6/27/2012,Lollipop Chainsaw,PlayStation 3 » Action » General,,
6/20/2012,E3 2012,N/A,,
6/13/2012,Dragon's Dogma,PlayStation 3 » Action » General,,
6/6/2012,Max Payne 3,PC » Action » Shooter » Third-Person » Modern,,
5/30/2012,Diablo 3,PC » Role-Playing » Action RPG,,
5/23/2012,Sniper Elite V2,PC » Action » Shooter » Third-Person » Tactical » Historic,,
5/16/2012,Risen 2: Dark Waters,PC » Role-Playing » General,,
5/9/2012,Prototype 2,PlayStation 3 » Action Adventure » Sci-Fi,,
5/2/2012,Fez and I Am Alive,"XBLA » Action » Platformer » 2D (Fez), XBLA » Action Adventure » Horror (I Am Alive)",,
4/25/2012,Kid Icarus: Uprising,3DS » Action Adventure » Fantasy,,
4/18/2012,Silent Hill: Downpour,PlayStation 3 » Action Adventure » Horror,,
4/11/2012,Ninja Gaiden 3,Xbox 360 » Action » Platformer » 3D,,
4/4/2012,Yakuza: Dead Souls,PlayStation 3 » Action Adventure » Modern,,
3/28/2012,Twisted Metal,PlayStation 3 » Driving » Car Combat,,
3/21/2012,Mass Effect 3,Xbox 360 » Role-Playing » Action RPG,,
3/14/2012,Syndicate,PC » Action » General,,
3/7/2012,NeverDead,PlayStation 3 » Action Adventure » Horror,,
2/29/2012,Kingdoms of Amalur: Reckoning,Xbox 360 » Role-Playing » Action RPG,,
2/22/2012,Darkness 2,PlayStation 3 » Action » Shooter » First-Person » Sci-Fi,,
2/15/2012,Resident Evil: Revelations,3DS » Action Adventure » Horror,,
2/8/2012,Amy,Xbox 360 » Action Adventure » Horror,,
2/1/2012,Star Wars: The Old Republic,PC » Role-Playing » Massively Multiplayer Online » Sci-Fi,,
1/25/2012,Sonic Generations,Xbox 360 » Action » Platformer » 2D/3D,,
1/18/2012,Super Mario 3D Land & Rayman Origins,3DS » Action » Platformer » 3D & PlayStation 3 » Action » Platformer » 2D,,
1/11/2012,Top 5 of 2011,N/A,,
1/4/2012,Serious Sam 3: BFE,PC » Action » Shooter » First-Person » Sci-Fi,,
12/21/2011,The Legend of Zelda: Skyward Sword,Wii » Action Adventure » Fantasy,,
12/14/2011,Assassin's Creed: Revelations,PlayStation 3 » Action Adventure » Historic,,
12/7/2011,Saints Row: The Third,Xbox 360 » Action Adventure » Modern,,
11/30/2011,The Elder Scrolls V: Skyrim,PlayStation 3 » Role-Playing » First-Person,,
11/23/2011,Call of Duty: Modern Warfare 3,Xbox 360 » Action » Shooter » First-Person » Modern,,
11/16/2011,Uncharted 3: Drake's Deception,PlayStation 3 » Action Adventure » Modern,,
11/9/2011,Battlefield 3,PlayStation 3 » Action » Shooter » First-Person » Modern,,
11/2/2011,Batman: Arkham City,Xbox 360 » Action Adventure » Fantasy,,
10/26/2011,Kinect,Xbox 360 » Peripheral,,
10/19/2011,Rage,Xbox 360 » Action » Shooter » First-Person » Modern,,
10/12/2011,Hard Reset,PC » Action » Shooter » First-Person » Sci-Fi,,
10/5/2011,Gears of War 3,Xbox 360 » Action » Shooter » Third-Person » Sci-Fi,,
9/28/2011,Resistance 3,PlayStation 3 » Action » Shooter » First-Person » Modern,,
